project_number,project_name,combination_id,need_date,reference_month
PRJ001,Expansion Unit A,1,2026-02-11,2026-01-01
PRJ001,Expansion Unit A,2,2026-03-12,2026-01-01
PRJ001,Expansion Unit A,3,2026-04-13,2026-01-01
PRJ001,Expansion Unit A,4,2026-05-14,2026-01-01
PRJ001,Expansion Unit A,5,2026-06-15,2026-01-01
PRJ001,Expansion Unit A,6,2026-07-16,2026-01-01
PRJ001,Expansion Unit A,7,2026-08-17,2026-01-01
PRJ001,Expansion Unit A,8,2026-09-18,2026-01-01
PRJ001,Expansion Unit A,9,2026-10-19,2026-01-01
PRJ002,New Production Line,1,2026-03-12,2026-01-01
PRJ002,New Production Line,2,2026-04-14,2026-01-01
PRJ002,New Production Line,3,2026-05-16,2026-01-01
PRJ002,New Production Line,4,2026-06-18,2026-01-01
PRJ002,New Production Line,5,2026-07-20,2026-01-01
PRJ002,New Production Line,6,2026-08-22,2026-01-01
PRJ002,New Production Line,7,2026-09-24,2026-01-01
PRJ002,New Production Line,8,2026-10-26,2026-01-01
PRJ002,New Production Line,9,2026-11-10,2026-01-01
PRJ003,Facility Upgrade,1,2026-04-13,2026-01-01
PRJ003,Facility Upgrade,2,2026-05-16,2026-01-01
PRJ003,Facility Upgrade,3,2026-06-19,2026-01-01
PRJ003,Facility Upgrade,4,2026-07-22,2026-01-01
PRJ003,Facility Upgrade,5,2026-08-25,2026-01-01
PRJ003,Facility Upgrade,6,2026-09-10,2026-01-01
PRJ003,Facility Upgrade,7,2026-10-13,2026-01-01
PRJ003,Facility Upgrade,8,2026-11-16,2026-01-01
PRJ003,Facility Upgrade,9,2026-12-19,2026-01-01
PRJ004,Customer Project Alpha,1,2026-05-14,2026-01-01
PRJ004,Customer Project Alpha,2,2026-06-18,2026-01-01
PRJ004,Customer Project Alpha,3,2026-07-22,2026-01-01
PRJ004,Customer Project Alpha,4,2026-08-26,2026-01-01
PRJ004,Customer Project Alpha,5,2026-09-12,2026-01-01
PRJ004,Customer Project Alpha,6,2026-10-16,2026-01-01
PRJ004,Customer Project Alpha,7,2026-11-20,2026-01-01
PRJ004,Customer Project Alpha,8,2026-12-24,2026-01-01
PRJ004,Customer Project Alpha,9,2026-12-10,2026-01-01
PRJ005,Customer Project Beta,1,2026-06-15,2026-01-01
PRJ005,Customer Project Beta,2,2026-07-20,2026-01-01
PRJ005,Customer Project Beta,3,2026-08-25,2026-01-01
PRJ005,Customer Project Beta,4,2026-09-12,2026-01-01
PRJ005,Customer Project Beta,5,2026-10-17,2026-01-01
PRJ005,Customer Project Beta,6,2026-11-22,2026-01-01
PRJ005,Customer Project Beta,7,2026-12-27,2026-01-01
PRJ005,Customer Project Beta,8,2026-12-14,2026-01-01
PRJ005,Customer Project Beta,9,2026-12-19,2026-01-01
PRJ006,Automation Upgrade,1,2026-07-16,2026-01-01
PRJ006,Automation Upgrade,2,2026-08-22,2026-01-01
PRJ006,Automation Upgrade,3,2026-09-10,2026-01-01
PRJ006,Automation Upgrade,4,2026-10-16,2026-01-01
PRJ006,Automation Upgrade,5,2026-11-22,2026-01-01
PRJ006,Automation Upgrade,6,2026-12-10,2026-01-01
PRJ006,Automation Upgrade,7,2026-12-16,2026-01-01
PRJ006,Automation Upgrade,8,2026-12-22,2026-01-01
PRJ006,Automation Upgrade,9,2026-12-10,2026-01-01
PRJ007,Capacity Expansion,1,2026-08-17,2026-01-01
PRJ007,Capacity Expansion,2,2026-09-24,2026-01-01
PRJ007,Capacity Expansion,3,2026-10-13,2026-01-01
PRJ007,Capacity Expansion,4,2026-11-20,2026-01-01
PRJ007,Capacity Expansion,5,2026-12-27,2026-01-01
PRJ007,Capacity Expansion,6,2026-12-16,2026-01-01
PRJ007,Capacity Expansion,7,2026-12-23,2026-01-01
PRJ007,Capacity Expansion,8,2026-12-12,2026-01-01
PRJ007,Capacity Expansion,9,2026-12-19,2026-01-01
PRJ008,Industrial Revamp,1,2026-09-18,2026-01-01
PRJ008,Industrial Revamp,2,2026-10-26,2026-01-01
PRJ008,Industrial Revamp,3,2026-11-16,2026-01-01
PRJ008,Industrial Revamp,4,2026-12-24,2026-01-01
PRJ008,Industrial Revamp,5,2026-12-14,2026-01-01
PRJ008,Industrial Revamp,6,2026-12-22,2026-01-01
PRJ008,Industrial Revamp,7,2026-12-12,2026-01-01
PRJ008,Industrial Revamp,8,2026-12-20,2026-01-01
PRJ008,Industrial Revamp,9,2026-12-10,2026-01-01
PRJ009,New Factory Module,1,2026-10-19,2026-01-01
PRJ009,New Factory Module,2,2026-11-10,2026-01-01
PRJ009,New Factory Module,3,2026-12-19,2026-01-01
PRJ009,New Factory Module,4,2026-12-10,2026-01-01
PRJ009,New Factory Module,5,2026-12-19,2026-01-01
PRJ009,New Factory Module,6,2026-12-10,2026-01-01
PRJ009,New Factory Module,7,2026-12-19,2026-01-01
PRJ009,New Factory Module,8,2026-12-10,2026-01-01
PRJ009,New Factory Module,9,2026-12-19,2026-01-01
PRJ010,Strategic Investment,1,2026-01-20,2026-01-01
PRJ010,Strategic Investment,2,2026-02-12,2026-01-01
PRJ010,Strategic Investment,3,2026-03-22,2026-01-01
PRJ010,Strategic Investment,4,2026-04-14,2026-01-01
PRJ010,Strategic Investment,5,2026-05-24,2026-01-01
PRJ010,Strategic Investment,6,2026-06-16,2026-01-01
PRJ010,Strategic Investment,7,2026-07-26,2026-01-01
PRJ010,Strategic Investment,8,2026-08-18,2026-01-01
PRJ010,Strategic Investment,9,2026-09-10,2026-01-01
PRJ011,Plant Modernization,1,2026-02-21,2026-01-01
PRJ011,Plant Modernization,2,2026-03-14,2026-01-01
PRJ011,Plant Modernization,3,2026-04-25,2026-01-01
PRJ011,Plant Modernization,4,2026-05-18,2026-01-01
PRJ011,Plant Modernization,5,2026-06-11,2026-01-01
PRJ011,Plant Modernization,6,2026-07-22,2026-01-01
PRJ011,Plant Modernization,7,2026-08-15,2026-01-01
PRJ011,Plant Modernization,8,2026-09-26,2026-01-01
PRJ011,Plant Modernization,9,2026-10-19,2026-01-01
PRJ012,Warehouse Expansion,1,2026-03-22,2026-01-01
PRJ012,Warehouse Expansion,2,2026-04-16,2026-01-01
PRJ012,Warehouse Expansion,3,2026-05-10,2026-01-01
PRJ012,Warehouse Expansion,4,2026-06-22,2026-01-01
PRJ012,Warehouse Expansion,5,2026-07-16,2026-01-01
PRJ012,Warehouse Expansion,6,2026-08-10,2026-01-01
PRJ012,Warehouse Expansion,7,2026-09-22,2026-01-01
PRJ012,Warehouse Expansion,8,2026-10-16,2026-01-01
PRJ012,Warehouse Expansion,9,2026-11-10,2026-01-01
PRJ013,Energy Optimization,1,2026-04-23,2026-01-01
PRJ013,Energy Optimization,2,2026-05-18,2026-01-01
PRJ013,Energy Optimization,3,2026-06-13,2026-01-01
PRJ013,Energy Optimization,4,2026-07-26,2026-01-01
PRJ013,Energy Optimization,5,2026-08-21,2026-01-01
