operator_id,operator_name,workcenter_id,shift_id,reference_month
1001,Operator 001,1,1,2026-01-01
1002,Operator 002,1,1,2026-01-01
1003,Operator 003,1,1,2026-01-01
1004,Operator 004,1,1,2026-01-01
1005,Operator 005,1,2,2026-01-01
1006,Operator 006,1,2,2026-01-01
1007,Operator 007,1,2,2026-01-01
1008,Operator 008,1,3,2026-01-01
1009,Operator 009,1,3,2026-01-01
1010,Operator 010,1,3,2026-01-01
1011,Operator 011,2,1,2026-01-01
1012,Operator 012,2,1,2026-01-01
1013,Operator 013,2,1,2026-01-01
1014,Operator 014,2,1,2026-01-01
1015,Operator 015,2,2,2026-01-01
1016,Operator 016,2,2,2026-01-01
1017,Operator 017,2,2,2026-01-01
1018,Operator 018,2,3,2026-01-01
1019,Operator 019,2,3,2026-01-01
1020,Operator 020,2,3,2026-01-01
1021,Operator 021,3,1,2026-01-01
1022,Operator 022,3,1,2026-01-01
1023,Operator 023,3,1,2026-01-01
1024,Operator 024,3,1,2026-01-01
1025,Operator 025,3,2,2026-01-01
1026,Operator 026,3,2,2026-01-01
1027,Operator 027,3,2,2026-01-01
1028,Operator 028,3,3,2026-01-01
1029,Operator 029,3,3,2026-01-01
1030,Operator 030,3,3,2026-01-01
